trans_date_trans_time,merchant,category,amt,city,state
04-01-2019 00:58,"""Stokes, Christiansen and Sipes""",grocery_net,14.37,Wales,AK
04-01-2019 15:06,Predovic Inc,shopping_net,966.11,Wales,AK
04-01-2019 22:37,Wisozk and Sons,misc_pos,49.61,Wales,AK
04-01-2019 23:06,Murray-Smitham,grocery_pos,295.26,Wales,AK
04-01-2019 23:59,Friesen Lt,health_fitness,18.17,Wales,AK
05-01-2019 03:15,"""Raynor, Reinger and Hagenes""",gas_transport,20.45,Wales,AK
05-01-2019 03:21,Heller-Langosh,gas_transport,18.19,Wales,AK
05-01-2019 11:31,Padberg-Welch,grocery_pos,367.29,Browning,MO
05-01-2019 18:03,McGlynn-Heathcote,misc_net,768.15,Wales,AK
05-01-2019 22:02,Dooley-Thompson,misc_net,849.49,Wales,AK
05-01-2019 22:05,"""Gottlieb, Considine and Schultz""",shopping_net,1177.79,Browning,MO
05-01-2019 22:12,"""Moen, Reinger and Murphy""",grocery_pos,307.09,Wales,AK
05-01-2019 22:18,"""Hauck, Dietrich and Funk""",kids_pets,4.58,Wales,AK
05-01-2019 22:32,Pouros-Haag,shopping_pos,730.78,Wales,AK
05-01-2019 22:33,Goyette Inc,shopping_net,1006.4,Wales,AK
05-01-2019 22:38,"""Baumbach, Strosin and Nicolas""",shopping_pos,830.72,Wales,AK
05-01-2019 23:17,Pacocha-O'Reilly,grocery_pos,311.92,Wales,AK
05-01-2019 23:26,Barrows PLC,shopping_pos,762.93,Browning,MO
06-01-2019 18:39,Fisher-Schowalte,shopping_net,855.88,Browning,MO
06-01-2019 23:33,Gleason-Macejkovic,shopping_net,909.29,Browning,MO
12-01-2019 01:46,Kutch LLC,gas_transport,7.04,Ravenna,NE
12-01-2019 15:36,Kihn Inc,shopping_pos,644.4,Ravenna,NE
12-01-2019 23:09,Kris-Weimann,misc_net,784.77,Ravenna,NE
12-01-2019 23:57,"""Kihn, Abernathy and Douglas""",shopping_net,1116.8,Ravenna,NE
13-01-2019 00:14,Kiehn-Emmerich,grocery_pos,320.6,Ravenna,NE
13-01-2019 01:59,"""Osinski, Ledner and Leuschke""",grocery_pos,276.8,Ravenna,NE
13-01-2019 02:16,Vandervort-Funk,grocery_pos,336.2,Ravenna,NE
13-01-2019 21:10,Terry-Huel,shopping_net,994.92,San Jose,CA
13-01-2019 22:01,Volkman-Predovic,shopping_net,1062.95,Ravenna,NE
13-01-2019 22:17,"""Roob, Conn and Tremblay""",shopping_pos,770.94,Ravenna,NE
13-01-2019 23:04,"""Tillman, Fritsch and Schmitt""",misc_net,816.89,San Jose,CA
13-01-2019 23:17,Larson-Moen,entertainment,510.59,Ravenna,NE
13-01-2019 23:28,Kutch and Sons,grocery_pos,307.5,San Jose,CA
13-01-2019 23:45,"""Parisian, Schiller and Altenwerth""",misc_net,790.35,San Jose,CA
13-01-2019 23:57,Kozey-Boehm,shopping_net,1065.43,Ravenna,NE
14-01-2019 00:27,Rau and Sons,grocery_pos,306.81,San Jose,CA
14-01-2019 00:37,Parisian and Sons,gas_transport,12.57,San Jose,CA
14-01-2019 00:46,O'Keefe-Hudson,grocery_pos,324.87,Westerville,NE
14-01-2019 01:41,Cassin-Harvey,grocery_net,16.44,Westerville,NE
14-01-2019 01:42,"""Schumm, Bauch and Ondrick""",grocery_pos,277.53,San Jose,CA
14-01-2019 02:27,"""Towne, Walker and Bore""",grocery_net,13.2,Westerville,NE
14-01-2019 08:44,Kling-Grant,grocery_net,12.95,Westerville,NE
14-01-2019 09:30,"""Jenkins, Hauck and Friesen""",gas_transport,8.25,San Jose,CA
14-01-2019 16:15,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,839.35,Westerville,NE
14-01-2019 22:28,Beier-Hyatt,shopping_pos,969.64,San Jose,CA
14-01-2019 23:17,"""Reichert, Huels and Hoppe""",shopping_net,1034.21,Westerville,NE
14-01-2019 23:18,"""Konopelski, Schneider and Hartmann""",food_dining,121.62,Westerville,NE
15-01-2019 01:07,VonRueden Group,grocery_net,15.05,Westerville,NE
15-01-2019 22:50,Koelpin and Sons,misc_net,851.71,Westerville,NE
15-01-2019 23:01,"""Little, Gutmann and Lynch""",shopping_net,1124.01,Westerville,NE
15-01-2019 23:12,"""Reichert, Shanahan and Hayes""",shopping_net,1140.41,Westerville,NE
17-01-2019 01:30,"""Monahan, Bogisich and Ledne""",misc_pos,795.59,Thompson,UT
17-01-2019 08:59,Kutch LLC,gas_transport,9.79,Thompson,UT
17-01-2019 22:26,Kutch-Wilderman,home,187.35,Thompson,UT
17-01-2019 22:45,"""Nicolas, Hills and McGlynn""",entertainment,564.34,Thompson,UT
18-01-2019 00:23,Boyer PLC,shopping_net,978.96,Thompson,UT
18-01-2019 03:36,Kerluke-Abshire,shopping_net,849.79,Thompson,UT
18-01-2019 03:54,Rempel Inc,shopping_net,955.4,Thompson,UT
18-01-2019 14:38,Shanahan-Lehne,personal_care,21.54,Thompson,UT
18-01-2019 22:06,Beier LLC,entertainment,528.98,Thompson,UT
18-01-2019 22:12,Bartoletti and Sons,personal_care,21.23,Thompson,UT
18-01-2019 23:16,Ankunding-Carroll,travel,9.33,Thompson,UT
18-01-2019 23:31,Wilkinson Lt,entertainment,386.91,Thompson,UT
27-01-2019 01:34,"""Huel, Hammes and Witting""",grocery_pos,329.83,Parker Dam,CA
27-01-2019 04:43,Kuhic Inc,grocery_pos,298.01,Parker Dam,CA
27-01-2019 22:35,Donnelly PLC,misc_net,1043.38,Parker Dam,CA
27-01-2019 22:53,Kuhic LLC,shopping_net,1189.69,Parker Dam,CA
27-01-2019 23:11,McDermott-Weimann,grocery_pos,289.8,Parker Dam,CA
27-01-2019 23:12,Friesen Inc,shopping_pos,795.01,Parker Dam,CA
28-01-2019 00:07,DuBuque LLC,grocery_pos,296.87,Parker Dam,CA
28-01-2019 01:51,Hackett-Lueilwitz,grocery_pos,294.02,Parker Dam,CA
28-01-2019 02:16,Kilback LLC,grocery_pos,295.07,San Diego,CA
28-01-2019 03:29,Koepp-Parke,grocery_pos,321.49,Parker Dam,CA
28-01-2019 03:53,Kiehn Inc,grocery_pos,276.99,San Diego,CA
28-01-2019 05:19,Bauch-Rayno,grocery_pos,306.2,San Diego,CA
28-01-2019 08:35,Koepp-Witting,grocery_pos,290.89,San Diego,CA
28-01-2019 22:40,"""Kihn, Abernathy and Douglas""",shopping_net,1005.31,San Diego,CA
28-01-2019 22:54,Hudson-Ratke,grocery_pos,287.42,Parker Dam,CA
28-01-2019 23:14,"""Romaguera, Cruickshank and Greenholt""",shopping_net,1058.01,San Diego,CA
28-01-2019 23:48,"""Reichert, Huels and Hoppe""",shopping_net,1037.0,San Diego,CA
29-01-2019 01:39,Murray-Smitham,grocery_pos,285.88,San Diego,CA
29-01-2019 01:59,Dooley-Thompson,misc_net,731.6,San Diego,CA
29-01-2019 03:59,"""Schoen, Kuphal and Nitzsche""",grocery_pos,326.94,San Diego,CA
29-01-2019 23:36,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,715.29,San Diego,CA
30-01-2019 00:54,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,986.53,Centerview,MO
30-01-2019 01:27,Mohr-Baye,shopping_net,1041.76,Centerview,MO
30-01-2019 02:51,"""Tillman, Fritsch and Schmitt""",misc_net,857.67,Centerview,MO
30-01-2019 22:22,"""Schiller, Blanda and Johnson""",home,241.08,Centerview,MO
30-01-2019 22:46,"""Lang, Towne and Schuppe""",kids_pets,19.77,Centerview,MO
30-01-2019 23:17,Larson-Moen,entertainment,540.67,Centerview,MO
31-01-2019 00:38,Jacobi and Sons,shopping_pos,868.34,Centerview,MO
31-01-2019 02:09,"""Schumm, Bauch and Ondrick""",grocery_pos,291.92,Vacaville,CA
31-01-2019 02:17,Kilback LLC,grocery_pos,290.2,Centerview,MO
31-01-2019 17:25,Miller-Harris,misc_net,820.25,Vacaville,CA
31-01-2019 22:07,Kerluke-Abshire,shopping_net,1084.55,Vacaville,CA
31-01-2019 22:45,"""Nicolas, Hills and McGlynn""",entertainment,424.38,Centerview,MO
31-01-2019 23:00,Abbott-Rogahn,entertainment,474.24,Centerview,MO
31-01-2019 23:26,Daugherty LLC,kids_pets,20.21,Centerview,MO
31-01-2019 23:34,Torp-Lemke,misc_pos,8.57,Vacaville,CA
01-02-2019 01:14,Bernhard Inc,gas_transport,9.17,Vacaville,CA
01-02-2019 03:07,Doyle Lt,grocery_pos,259.96,Vacaville,CA
