suburb,rooms,type,price,method,seller_g,date
Abbotsford,2,h,,SS,Jellis,2016-09-03
Abbotsford,2,h,1480000.0,S,Biggin,2016-12-03
Abbotsford,2,h,1035000.0,S,Biggin,2016-02-04
Abbotsford,3,u,,VB,Rounds,2016-02-04
Abbotsford,3,h,1465000.0,SP,Biggin,2017-03-04
Abbotsford,3,h,850000.0,PI,Biggin,2017-03-04
Abbotsford,4,h,1600000.0,VB,Nelson,2016-06-04
Abbotsford,4,h,,SN,Nelson,2016-08-06
Abbotsford,2,h,,S,Biggin,2016-08-06
Abbotsford,2,h,,S,Collins,2016-08-06
Abbotsford,2,h,941000.0,S,Jellis,2016-05-07
Abbotsford,3,h,1876000.0,S,Nelson,2016-05-07
Abbotsford,2,u,,PI,Biggin,2016-11-07
Abbotsford,4,h,,W,Biggin,2016-11-07
Abbotsford,2,h,1636000.0,S,Nelson,2016-10-08
Abbotsford,3,h,1000000.0,S,Jellis,2016-10-08
Abbotsford,2,t,745000.0,S,Jellis,2016-10-08
Abbotsford,1,u,300000.0,S,Biggin,2016-10-08
Abbotsford,2,h,1097000.0,S,Biggin,2016-10-08
Abbotsford,2,u,542000.0,S,Dingle,2016-10-08
Abbotsford,2,h,,SP,Biggin,2016-12-10
Abbotsford,2,u,760000.0,SP,Biggin,2016-12-10
Abbotsford,1,u,481000.0,SP,Purplebricks,2016-12-10
Abbotsford,2,u,700000.0,VB,Jellis,2016-11-12
Abbotsford,3,h,1350000.0,VB,Nelson,2016-11-12
Abbotsford,2,u,750000.0,S,Biggin,2016-11-12
Abbotsford,4,h,1985000.0,S,Biggin,2016-11-12
Abbotsford,1,u,500000.0,S,Biggin,2016-11-12
Abbotsford,2,h,1172500.0,S,Biggin,2016-08-13
Abbotsford,1,u,441000.0,SP,Greg,2016-05-14
Abbotsford,2,h,1310000.0,S,Jellis,2016-10-15
Abbotsford,3,u,,PI,Philip,2016-04-16
Abbotsford,3,h,1200000.0,S,Jellis,2016-07-16
Abbotsford,2,t,847000.0,S,Jellis,2016-07-16
Abbotsford,2,h,,PI,Biggin,2016-07-16
Abbotsford,3,h,1176500.0,S,LITTLE,2016-07-16
Abbotsford,3,h,955000.0,S,Collins,2016-09-17
Abbotsford,2,h,890000.0,S,Biggin,2016-09-17
Abbotsford,4,h,1330000.0,PI,Kay,2017-03-18
Abbotsford,3,h,,SP,Nelson,2017-03-18
Abbotsford,3,t,900000.0,S,Beller,2017-03-18
Abbotsford,3,u,1090000.0,S,Jellis,2017-03-18
Abbotsford,2,u,500000.0,S,Collins,2016-06-18
Abbotsford,2,h,1100000.0,PI,Biggin,2016-06-18
Abbotsford,2,h,1315000.0,S,Marshall,2016-11-19
Abbotsford,1,u,480000.0,S,Biggin,2016-11-19
Abbotsford,1,u,423500.0,S,hockingstuart,2016-05-22
Abbotsford,4,h,,PI,Biggin,2016-05-22
Abbotsford,1,u,426000.0,SP,Greg,2016-08-22
Abbotsford,3,h,1447500.0,PI,Nelson,2016-08-22
Abbotsford,1,u,457000.0,S,Jellis,2016-08-22
Abbotsford,2,h,1135000.0,S,Nelson,2016-08-22
Abbotsford,2,h,700000.0,S,Biggin,2016-04-23
Abbotsford,4,h,1542000.0,S,Collins,2016-09-24
Abbotsford,3,t,962000.0,SP,Jellis,2017-02-25
Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25
Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25
Abbotsford,1,u,470000.0,S,Nelson,2016-07-26
Abbotsford,2,h,1180000.0,S,Jellis,2016-11-27
Abbotsford,3,h,1195000.0,SP,Jellis,2016-11-27
