property_id,suburb,rooms,type,price,method,seller_g,date
1,Abbotsford,2,h,,SS,Jellis,2016-09-03
2,Abbotsford,2,h,1480000.0,S,Biggin,2016-12-03
3,Abbotsford,2,h,1035000.0,S,Biggin,2016-02-04
4,Abbotsford,3,u,,VB,Rounds,2016-02-04
5,Abbotsford,3,h,1465000.0,SP,Biggin,2017-03-04
6,Abbotsford,3,h,850000.0,PI,Biggin,2017-03-04
7,Abbotsford,4,h,1600000.0,VB,Nelson,2016-06-04
8,Abbotsford,4,h,,SN,Nelson,2016-08-06
9,Abbotsford,2,h,,S,Biggin,2016-08-06
10,Abbotsford,2,h,,S,Collins,2016-08-06
11,Abbotsford,2,h,941000.0,S,Jellis,2016-05-07
12,Abbotsford,3,h,1876000.0,S,Nelson,2016-05-07
13,Abbotsford,2,u,,PI,Biggin,2016-11-07
14,Abbotsford,4,h,,W,Biggin,2016-11-07
15,Abbotsford,2,h,1636000.0,S,Nelson,2016-10-08
16,Abbotsford,3,h,1000000.0,S,Jellis,2016-10-08
17,Abbotsford,2,t,745000.0,S,Jellis,2016-10-08
18,Abbotsford,1,u,300000.0,S,Biggin,2016-10-08
19,Abbotsford,2,h,1097000.0,S,Biggin,2016-10-08
20,Abbotsford,2,u,542000.0,S,Dingle,2016-10-08
21,Abbotsford,2,h,,SP,Biggin,2016-12-10
22,Abbotsford,2,u,760000.0,SP,Biggin,2016-12-10
23,Abbotsford,1,u,481000.0,SP,Purplebricks,2016-12-10
24,Abbotsford,2,u,700000.0,VB,Jellis,2016-11-12
25,Abbotsford,3,h,1350000.0,VB,Nelson,2016-11-12
26,Abbotsford,2,u,750000.0,S,Biggin,2016-11-12
27,Abbotsford,4,h,1985000.0,S,Biggin,2016-11-12
28,Abbotsford,1,u,500000.0,S,Biggin,2016-11-12
29,Abbotsford,2,h,1172500.0,S,Biggin,2016-08-13
30,Abbotsford,1,u,441000.0,SP,Greg,2016-05-14
31,Abbotsford,2,h,1310000.0,S,Jellis,2016-10-15
32,Abbotsford,3,u,,PI,Philip,2016-04-16
33,Abbotsford,3,h,1200000.0,S,Jellis,2016-07-16
34,Abbotsford,2,t,847000.0,S,Jellis,2016-07-16
35,Abbotsford,2,h,,PI,Biggin,2016-07-16
36,Abbotsford,3,h,1176500.0,S,LITTLE,2016-07-16
37,Abbotsford,3,h,955000.0,S,Collins,2016-09-17
38,Abbotsford,2,h,890000.0,S,Biggin,2016-09-17
39,Abbotsford,4,h,1330000.0,PI,Kay,2017-03-18
40,Abbotsford,3,h,,SP,Nelson,2017-03-18
41,Abbotsford,3,t,900000.0,S,Beller,2017-03-18
42,Abbotsford,3,u,1090000.0,S,Jellis,2017-03-18
43,Abbotsford,2,u,500000.0,S,Collins,2016-06-18
44,Abbotsford,2,h,1100000.0,PI,Biggin,2016-06-18
45,Abbotsford,2,h,1315000.0,S,Marshall,2016-11-19
46,Abbotsford,1,u,480000.0,S,Biggin,2016-11-19
47,Abbotsford,1,u,423500.0,S,hockingstuart,2016-05-22
48,Abbotsford,4,h,,PI,Biggin,2016-05-22
49,Abbotsford,1,u,426000.0,SP,Greg,2016-08-22
50,Abbotsford,3,h,1447500.0,PI,Nelson,2016-08-22
51,Abbotsford,1,u,457000.0,S,Jellis,2016-08-22
52,Abbotsford,2,h,1135000.0,S,Nelson,2016-08-22
53,Abbotsford,2,h,700000.0,S,Biggin,2016-04-23
54,Abbotsford,4,h,1542000.0,S,Collins,2016-09-24
55,Abbotsford,3,t,962000.0,SP,Jellis,2017-02-25
56,Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25
57,Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25
58,Abbotsford,1,u,470000.0,S,Nelson,2016-07-26
59,Abbotsford,2,h,1180000.0,S,Jellis,2016-11-27
60,Abbotsford,3,h,1195000.0,SP,Jellis,2016-11-27
61,Abbotsford,2,u,,PI,Biggin,2016-05-28
62,Abbotsford,2,h,1012500.0,S,Nelson,2016-05-28
63,Abbotsford,2,u,970000.0,SP,Biggin,2016-05-28
64,Abbotsford,2,h,1030000.0,S,Biggin,2016-07-30
65,Abbotsford,4,h,,W,Biggin,2016-07-30
66,Abbotsford,3,h,927000.0,S,Biggin,2016-07-30
67,Airport West,3,t,840000.0,PI,Nelson,2016-09-03
68,Airport West,3,h,730000.0,VB,Nelson,2016-12-03
69,Airport West,3,h,770000.0,SP,Nelson,2017-03-04
70,Airport West,3,h,,S,Brad,2017-03-04
71,Airport West,2,h,603000.0,S,Nelson,2017-03-04
72,Airport West,3,t,700000.0,S,Brad,2017-03-04
73,Airport West,3,h,600000.0,S,Maddison,2017-03-04
74,Airport West,2,u,500000.0,VB,Barry,2017-03-04
75,Airport West,2,t,420000.0,VB,Barry,2016-06-04
76,Airport West,3,t,500000.0,VB,Nelson,2016-06-04
77,Airport West,5,h,1035000.0,S,Airport,2016-08-06
78,Airport West,4,h,960000.0,S,Barry,2016-08-06
79,Airport West,4,h,960000.0,S,Nelson,2016-08-06
80,Airport West,3,h,720000.0,S,Barry,2016-08-06
81,Airport West,4,h,785000.0,S,Considine,2016-08-06
82,Airport West,6,h,725000.0,SP,Barry,2016-05-07
83,Airport West,2,t,450000.0,S,Barry,2016-05-07
84,Airport West,2,u,515000.0,S,Barry,2016-11-07
85,Airport West,3,h,680000.0,VB,Nelson,2016-10-08
86,Airport West,2,u,530000.0,S,Nelson,2016-09-10
87,Airport West,3,h,895000.0,PI,Rendina,2016-09-10
88,Airport West,3,u,600000.0,VB,Nelson,2016-09-10
89,Airport West,3,h,805000.0,S,Nelson,2016-12-10
90,Airport West,3,t,760000.0,PI,Barry,2016-12-10
91,Airport West,3,u,752000.0,S,Nelson,2017-02-11
92,Airport West,3,u,580000.0,VB,Nelson,2016-11-12
93,Airport West,3,h,725000.0,PI,Ray,2016-11-12
94,Airport West,4,h,758000.0,S,Jellis,2016-08-13
95,Airport West,2,u,440000.0,S,Barry,2016-08-13
96,Airport West,3,h,970000.0,S,Barry,2016-05-14
97,Airport West,5,h,755000.0,PI,Propertyau,2016-05-14
98,Airport West,4,h,985000.0,S,Barry,2016-10-15
99,Airport West,3,t,700000.0,PI,Brad,2016-10-15
100,Airport West,2,u,509500.0,SP,Nelson,2016-10-15
101,Airport West,3,h,830000.0,S,Barry,2016-04-16
102,Airport West,2,u,462500.0,S,Barry,2016-07-16
103,Airport West,3,h,670000.0,SP,Barry,2016-07-16
104,Airport West,2,h,675000.0,S,Barry,2016-07-16
105,Airport West,3,h,1042000.0,S,Nelson,2016-07-16
106,Airport West,3,h,910000.0,S,McDonald,2016-09-17
107,Airport West,4,h,773000.0,S,Brad,2016-09-17
108,Airport West,3,h,715000.0,S,Barry,2016-09-17
109,Airport West,3,h,810000.0,PI,Barry,2017-03-18
110,Airport West,3,h,715000.0,S,Rendina,2017-03-18
111,Airport West,3,h,790000.0,S,Nelson,2017-03-18
112,Airport West,2,t,460000.0,VB,Nelson,2016-06-18
113,Airport West,3,t,540000.0,SP,Nelson,2016-06-18
114,Airport West,3,t,825000.0,SP,Barry,2016-11-19
115,Airport West,3,h,685000.0,S,Barry,2016-05-22
116,Airport West,3,u,445000.0,S,Brad,2016-05-22
117,Airport West,3,h,805000.0,S,Barry,2016-08-22
