suburb,distance,postcode,bedroom2,bathroom,car,landsize,building_area,year_built,council_area,latitude,longitude,region_name,property_count,yr_qtr
Abbotsford,2.5,3067.0,2.0,1.0,1.0,126.0,,,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,2.0,1.0,1.0,202.0,,,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019.0,2016.1
Abbotsford,2.5,3067.0,3.0,2.0,1.0,0.0,,,Yarra City Council,-37.8114,145.0116,Northern Metropolitan,4019.0,2016.1
Abbotsford,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,2.0,1.0,94.0,,,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,3.0,2.0,2.0,400.0,220.0,2006.0,Yarra City Council,-37.7965,144.9965,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,4.0,1.0,2.0,201.0,,1900.0,Yarra City Council,-37.7995,144.9974,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,3.0,2.0,1.0,202.0,,1900.0,Yarra City Council,-37.7996,144.9989,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,2.0,1.0,0.0,181.0,,,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,2.0,2.0,1.0,4292.0,82.0,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,6.0,2.0,0.0,230.0,147.0,1860.0,Yarra City Council,-37.8066,144.9936,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.8008,144.9973,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,2.0,1.0,1.0,176.0,80.0,1925.0,Yarra City Council,-37.7998,144.9972,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,2.0,2.0,1.0,0.0,,,Yarra City Council,-37.811,145.0067,Northern Metropolitan,4019.0,2016.4
